"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1943","Connexion avec des identifiants invalides (example #5)","Gestion des utilisateurs et des produits sur SwagLabs","Mon Oct 07 12:26:05 CET 2024","passed","Mon Oct 07 12:26:07 CET 2024","","","",""
"","6373","Suppression d'un produit du panier","Gestion des utilisateurs et des produits sur SwagLabs","Mon Oct 07 12:26:11 CET 2024","passed","Mon Oct 07 12:26:18 CET 2024","","","",""
"","5192","Procéder au checkout","Gestion des utilisateurs et des produits sur SwagLabs","Mon Oct 07 12:26:18 CET 2024","passed","Mon Oct 07 12:26:23 CET 2024","","","",""
"","2239","Ajout d'un produit au panier","Gestion des utilisateurs et des produits sur SwagLabs","Mon Oct 07 12:26:09 CET 2024","passed","Mon Oct 07 12:26:11 CET 2024","","","",""
"","2528","Déconnexion de l'utilisateur","Gestion des utilisateurs et des produits sur SwagLabs","Mon Oct 07 12:26:23 CET 2024","passed","Mon Oct 07 12:26:25 CET 2024","","","",""
"","1633","Connexion avec des identifiants invalides (example #3)","Gestion des utilisateurs et des produits sur SwagLabs","Mon Oct 07 12:26:01 CET 2024","passed","Mon Oct 07 12:26:03 CET 2024","","","",""
"","1327","Connexion avec des identifiants invalides (example #1)","Gestion des utilisateurs et des produits sur SwagLabs","Mon Oct 07 12:25:58 CET 2024","passed","Mon Oct 07 12:25:59 CET 2024","","","",""
"","1938","Connexion avec des identifiants invalides (example #6)","Gestion des utilisateurs et des produits sur SwagLabs","Mon Oct 07 12:26:07 CET 2024","passed","Mon Oct 07 12:26:09 CET 2024","","","",""
"","1609","Connexion avec des identifiants invalides (example #2)","Gestion des utilisateurs et des produits sur SwagLabs","Mon Oct 07 12:26:00 CET 2024","passed","Mon Oct 07 12:26:01 CET 2024","","","",""
"","1841","Connexion avec des identifiants invalides (example #4)","Gestion des utilisateurs et des produits sur SwagLabs","Mon Oct 07 12:26:03 CET 2024","passed","Mon Oct 07 12:26:05 CET 2024","","","",""
"","3480","Connexion avec des identifiants valides","Gestion des utilisateurs et des produits sur SwagLabs","Mon Oct 07 12:25:55 CET 2024","passed","Mon Oct 07 12:25:58 CET 2024","","","",""
